ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,Remark
OldNewari,OLD NEWARI,,,,,,,,,
ClassicalNewari,CLASSICAL NEWARI,,,,,,,,,
KathmanduNewari,Kathmandu,newa1246,Kathmandu Valley Newari,new,Eurasia,27.67,85.326,Sino-Tibetan,,
DolakhaNewari,Dolakha,dola1240,Dolakha-Tauthali-Jethal-Listi-Doti,,Eurasia,,,Sino-Tibetan,,
