ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
OldNewari-8_tobealive-1,,OldNewari,8_tobealive,mvāt-,mwat-,m w a t,OTib.mod pa,DCN[404],mvāt-,false,,
ClassicalNewari-8_tobealive-1,,ClassicalNewari,8_tobealive,mvāt-,mwat-,m w a t,OTib.mod pa,DCN[404],mvāt-,false,,
KathmanduNewari-8_tobealive-1,,KathmanduNewari,8_tobealive,mvāt-,mwat-,m w a t,OTib.mod pa,Kölver[271],mvāt-,false,,
DolakhaNewari-8_tobealive-1,,DolakhaNewari,8_tobealive,mwāt-,mwat-,m w a t,OTib.mod pa,Genetti[532],mvāt-,false,,
ClassicalNewari-9_thebelly-1,,ClassicalNewari,9_thebelly,pvāta,pwat,p w a t,,DCN[305],pvāt-,false,,
KathmanduNewari-9_thebelly-1,,KathmanduNewari,9_thebelly,pvāḥ,pwaː,p w aː,,Kölver[217],pvāt-,false,,
OldNewari-9_thebelly-1,,OldNewari,9_thebelly,phū,pʰu,pʰ u,OTib. pho ba,DCN[312],phu,false,,
ClassicalNewari-9_thebelly-2,,ClassicalNewari,9_thebelly,phu,pʰu,pʰ u,OTib. pho ba,DCN[312],phu,false,,
OldNewari-9_thebelly-2,,OldNewari,9_thebelly,pyaṃṭa,pjẽʈɑ,p j ẽ ʈ ɑ,,DCN[299],pyaṃṭa,true,,
ClassicalNewari-9_thebelly-3,,ClassicalNewari,9_thebelly,peta,pet,p e t,,DCN[299],pyaṃṭa,true,,
DolakhaNewari-9_thebelly-1,,DolakhaNewari,9_thebelly,pyāṭā,pjaʈa,p j a ʈ a,,Genetti[534],pyaṃṭa,true,,
OldNewari-11_big-1,,OldNewari,11_big,tava,tɑwo,t ɑ w o,"ta- : tall, high, big",DCN[173],ta-,false,,
ClassicalNewari-11_big-1,,ClassicalNewari,11_big,taomā,tɑwoma,t ɑ w o m a,"ta- : tall, high, big",DCN[169],ta-,false,,
KathmanduNewari-11_big-1,,KathmanduNewari,11_big,ta,tɔ,t ɔ,"ta- : tall, high, big",Kölver[124],ta-,false,,
ClassicalNewari-11_big-2,,ClassicalNewari,11_big,dhū ?,dʰu,dʰ u,,DCN[245],dhu-,false,,
DolakhaNewari-11_big-1,,DolakhaNewari,11_big,ḍwākar-,ɖwakɑr,ɖ w a k ɑ r,,Genetti[526],dhu-,false,,
ClassicalNewari-12_thebird-1,,ClassicalNewari,12_thebird,jhaṅgala,dʑʰɑgɑl,dʑʰ ɑ g ɑ l,,DCN[161],jhaṅgal,false,,
KathmanduNewari-12_thebird-1,,KathmanduNewari,12_thebird,jhaṃgaḥ,dʑʰɔ̃gɔ:,dʑʰ ɔ̃ g ɔ:,,Kölver[118],jhaṅgal,false,,
DolakhaNewari-12_thebird-1,,DolakhaNewari,12_thebird,jāṅal,dʑʰaŋɑl,dʑʰ a ŋ ɑ l,,Genetti[528],jhaṅgal,false,,
DolakhaNewari-12_thebird-2,,DolakhaNewari,12_thebird,ciḍiya,tɕiɖiyɑ,tɕ i ɖ i j ɑ,,Genetti[525],ciḍiya,false,,
OldNewari-13_tobite-1,,OldNewari,13_tobite,ṅār-,ŋar-,ŋ a r,,DCN[103],ṅār-,false,,
ClassicalNewari-13_tobite-1,,ClassicalNewari,13_tobite,ṅār-,ŋar-,ŋ a r,,DCN[103],ṅār-,false,,
KathmanduNewari-13_tobite-1,,KathmanduNewari,13_tobite,nyāt-,njat-,n j a t,,Kölver[191],ṅār-,false,,
DolakhaNewari-13_tobite-1,,DolakhaNewari,13_tobite,ṅār-,ŋar-,ŋ a r,,Genetti[532],ṅār-,false,,
OldNewari-13_tobite-2,,OldNewari,13_tobite,ṅhel-,ŋ̥el-,ŋ̥ e l,,Jorg[56],ṅhel-,false,,
ClassicalNewari-14_black-1,,ClassicalNewari,14_black,hāku,haku,h a k u,,DCN[521],hāk-,false,,
KathmanduNewari-14_black-1,,KathmanduNewari,14_black,hāku,haku,h a k u,,Kölver[332],hāk-,false,,
DolakhaNewari-14_black-1,,DolakhaNewari,14_black,hākar-(be.black),hakɑr-,h a k ɑ r,,Genetti[527],hāk-,false,,
OldNewari-15_theblood-1,,OldNewari,15_theblood,hī,hi,h i,,DCN[525],hi,false,,
